path_no,x(m),y(m)
507,-10.194971325484799,19.8156530006558
508,-10.194868879929237,19.789674697314872
509,-10.194753107652396,19.763757467876747
510,-10.19463646128082,19.73775172636378
511,-10.194526624280385,19.711655339373
512,-10.194437319831414,19.68567531623535
513,-10.194348059428815,19.659755764823963
514,-10.194258984362735,19.633748271553703
515,-10.194172893776429,19.607655819234132
516,-10.194086256944255,19.58168102746366
517,-10.193993600194744,19.55576006826892
518,-10.193914100524111,19.529750679966323
519,-10.193839870185842,19.503658064091848
520,-10.193764847952373,19.47768566801902
521,-10.193684764835657,19.45176426774422
522,-10.193617978557345,19.425753464657454
523,-10.193557581246216,19.39966025325054
524,-10.193496434158853,19.37369012877996
525,-10.193430887271854,19.347768297200794
526,-10.193378920445303,19.321756203789594
527,-10.19333498753339,19.295662548472244
528,-10.193290360183427,19.269695078141364
529,-10.193236930529173,19.243775461225237
530,-10.193183949539451,19.21776276217042
531,-10.19313984123098,19.19166850989548
532,-10.193094673594914,19.165703409580352
533,-10.193040955372485,19.13978308531263
534,-10.19299037719824,19.11376774029765
535,-10.192963651127629,19.087667363636196
536,-10.192952585525479,19.061701535669282
537,-10.192934268181103,19.035780080097062
538,-10.192918837310549,19.00976355921014
539,-10.192919833434459,18.983668400085953
540,-10.19292442483522,18.957710534965226
541,-10.192924711107603,18.931786711400118
542,-10.192924464272648,18.905771176739233
543,-10.192927464660784,18.879678006064267
544,-10.19293308897251,18.85372251041717
545,-10.192934734562382,18.827797484856582
546,-10.19293615899802,18.80178074414522
547,-10.192941240737978,18.77568772389662
548,-10.192949160601966,18.74973457053364
549,-10.192953371799431,18.72380826874159
550,-10.192957906620133,18.697790588898584
551,-10.192966789628315,18.671698199410173
552,-10.192978734304495,18.64574824997753
553,-10.192987236332753,18.619820516791783
554,-10.192996890416149,18.593801716347055
555,-10.193012534899674,18.567710155206324
556,-10.19303023932814,18.541761650656433
557,-10.193045924005471,18.515833113990514
558,-10.19306377494997,18.489813259751156
559,-10.193088396985521,18.46372155411971
560,-10.193113745746757,18.437774663963822
561,-10.19313898569565,18.411844862117206
562,-10.193165372513999,18.385823838948728
563,-10.193198260051432,18.359731835089676
564,-10.19323184796284,18.333786694182876
565,-10.193265201894713,18.307856040599564
566,-10.193299597111679,18.281834036369492
567,-10.193340392721518,18.255741920900523
568,-10.193381749375856,18.229798777602692
569,-10.193423146602992,18.20386708022361
570,-10.193465391355472,18.17784390132128
571,-10.193514027457592,18.15175164677675
572,-10.193562877930914,18.125810656931904
573,-10.193612122430386,18.099877810576913
574,-10.193662120423697,18.073853637790716
575,-10.193718652026593,18.0477614556887
576,-10.193775114103476,18.0218226445
577,-10.193832200965689,17.99588852305095
578,-10.193890075162367,17.969863135675183
579,-10.193954686041435,17.94377099878082
580,-10.194019128357205,17.91783438610771
581,-10.194084351122159,17.891899427311383
582,-10.194150441556955,17.865873008939797
583,-10.194223463605896,17.839781050531
584,-10.194295852666157,17.813846721077464
585,-10.194369412370687,17.787910671231394
586,-10.194443930857071,17.761883047184803
587,-10.194525603873494,17.735791234697405
588,-10.19460630979691,17.709858959577925
589,-10.194688377280462,17.68392184584155
590,-10.194771489878987,17.65789321737038
591,-10.194862006500433,17.6318016942547
592,-10.194951453242968,17.60587146280199
593,-10.195042341766392,17.57993336675635
594,-10.195134378332304,17.553903529996642
595,-10.19523403519046,17.527812240807975
596,-10.195332200778655,17.501883933626562
597,-10.195432010204327,17.475944828070357
598,-10.195513731083613,17.450803204283748
599,-10.195560088021193,17.4253742428585
600,-10.195583425218555,17.399898127679847
601,-10.195589786068755,17.374636060705154
602,-10.195568618297262,17.350958991463862
603,-10.195518514275067,17.335283358703048
604,-10.195456800324635,17.326342373660175
605,-10.195421692902002,17.323425167369354
606,-10.195419173188181,17.32330656444014
607,-10.195416856913914,17.323208321787654
608,-10.195414833353421,17.32311124331709
609,-10.19541302561749,17.3230138749996
610,-10.195411183454201,17.32291548365965
611,-10.195409362993338,17.32281668152658
612,-10.195407566348228,17.322717523680993
613,-10.195405792822173,17.322618044235142
614,-10.195381174425474,17.3210313305585
615,-10.19530556770754,17.314797785768164
616,-10.195211269373807,17.306629235993952
617,-10.19506098873207,17.294432005408797
618,-10.194774434252624,17.274234018167295
619,-10.19438223163331,17.248313204062445
620,-10.194005500459202,17.222361951932424
621,-10.193632852128285,17.196432670783143
622,-10.193267357904453,17.17040667115014
623,-10.19293008240378,17.14430512653868
624,-10.19260994577409,17.118356955717797
625,-10.192287364549077,17.092426248297787
626,-10.191969865693023,17.066399156128732
627,-10.191676425374077,17.040297821992738
628,-10.191402698375533,17.01436263608922
629,-10.191150115912135,16.988427149706173
630,-10.190901565839447,16.962398940005993
631,-10.190672735607292,16.93629784796203
632,-10.190459449759754,16.910361751668578
633,-10.190263424834923,16.884425208102883
634,-10.190069870570277,16.85839580826663
635,-10.189893455906113,16.832294908559042
636,-10.189729988094042,16.806359355161515
637,-10.189580724323035,16.78042184245639
638,-10.189405976422409,16.754408329987374
639,-10.189129404895374,16.728337044573276
640,-10.188742428784328,16.702431881781365
641,-10.188264501237411,16.676524248403517
642,-10.18770703397721,16.650515146661803
643,-10.187077268626979,16.62444132097465
644,-10.186377394525488,16.598541714310723
645,-10.185607787691486,16.572641345272096
646,-10.184760724524724,16.546637125547207
647,-10.183853601880022,16.52057265454707
648,-10.182883048378672,16.4946984767761
649,-10.181846233459899,16.468816750640652
650,-10.180688948319009,16.4428356907433
651,-10.179431043228744,16.416791804872528
652,-10.178105942063254,16.390920009947045
653,-10.176703603375461,16.36503851812773
654,-10.175254105326331,16.339052315974588
655,-10.173783496887609,16.31301063981075
656,-10.172319375202164,16.287142026299954
657,-10.170849974694715,16.261245466202478
658,-10.169375890880568,16.235250561015643
659,-10.167918996178962,16.20920242687944
660,-10.166489726614907,16.18334641174713
661,-10.165091612570334,16.15743821503451
662,-10.163719919752777,16.131434860020377
663,-10.162375376719094,16.105365659934737
664,-10.16108931973697,16.07945681288779
665,-10.159840853431344,16.05353926197645
666,-10.158621928413906,16.027521360453004
667,-10.157448574429392,16.001441236239707
668,-10.156334838764142,15.975539694394511
669,-10.155272777561308,15.949611856478738
670,-10.154244572536108,15.923580759908823
671,-10.153277260700055,15.89748741558527
672,-10.152360519662597,15.871571316215176
673,-10.151478518492565,15.845636397220481
674,-10.15062402154514,15.819601247014516
675,-10.149819709366563,15.793504607736272
676,-10.149055462531653,15.767586399023346
677,-10.148313541732271,15.74164612509295
678,-10.14759665374939,15.715607490709235
679,-10.146923378994565,15.689508524624994
680,-10.146292596445187,15.663596272555727
681,-10.145703507260489,15.637649484256103
682,-10.14513580719488,15.611607401191407
683,-10.14460816398695,15.585507391006352
684,-10.144112644906341,15.559597373919164
685,-10.143654334283548,15.533647609071188
686,-10.14321172554931,15.507603260005743
687,-10.142804360613917,15.481504055179952
688,-10.14241871509339,15.455595608985833
689,-10.142065096738019,15.429643470318531
690,-10.141720793852278,15.40359735433742
691,-10.141406856804787,15.377500010312705
692,-10.14110481655229,15.351594746604201
693,-10.140839278293507,15.325636805656963
694,-10.140605013207372,15.299586404921877
695,-10.140398347512694,15.273492046639657
696,-10.140192588256605,15.247588583880821
697,-10.140017657557419,15.22163037470393
698,-10.139865343871323,15.195579336425443
699,-10.13973612538558,15.169488845088228
700,-10.139596047408142,15.14358989747574
701,-10.139481863299478,15.117631505742244
702,-10.139381061607079,15.091580384840585
703,-10.139299709817076,15.065492791562617
704,-10.139202067424751,15.039592023534084
705,-10.139129944386637,15.013632711380517
706,-10.13906768732736,14.987581429280068
707,-10.139031287837128,14.96148943165546
708,-10.138998983631575,14.935579633256223
709,-10.138990487041013,14.909619379718738
710,-10.138990210665334,14.88356682518239
711,-10.139004714318737,14.85748395867156
712,-10.139007606345325,14.831583338893395
713,-10.139014289038961,14.805624085131535
714,-10.139028675181986,14.779567644635367
715,-10.139075397656255,14.753480126909723
716,-10.13911294024834,14.727577337548935
717,-10.139158217873499,14.701616239903785
718,-10.139205657282643,14.675564473423867
719,-10.139272209147572,14.649482200942037
720,-10.13932876252503,14.623580910524709
721,-10.139393047269321,14.597618989018919
722,-10.139459551441204,14.571566178775768
723,-10.139537064254569,14.545489447795063
724,-10.139605059265723,14.519592472485938
725,-10.13967812026214,14.493630158721533
726,-10.13975347508489,14.467576129258136
727,-10.139839411352504,14.441500576232654
728,-10.139916286121599,14.415604484517448
729,-10.139998135638287,14.389641278369265
730,-10.140082363116276,14.363586228828023
731,-10.140177089774882,14.337512017732973
732,-10.140262879245403,14.311616794734025
733,-10.140353658744528,14.285652417200417
734,-10.140446905389705,14.259596188833012
